Name	Capital	Population	Flag	Last Modified
Guam	Hagatna	1759	data\flag.jpg	17.10.2020 12:00:00
Guatemala	Guatemala	13002	data\flag.jpg	17.10.2020 12:00:00
Guernsey	Saint Peter Port	657	data\flag.jpg	17.10.2020 12:00:00
Guinea	Conakry	10211	data\flag.jpg	17.10.2020 12:00:00
Guinea-Bissau	Bissau	1503	data\flag.jpg	17.10.2020 12:00:00
Guyana	Georgetown	7708	data\flag.jpg	17.10.2020 12:00:00
Haiti	Port-au-Prince	8925	data\flag.jpg	17.10.2020 12:00:00
Honduras	Tegucigalpa	7639	data\flag.jpg	17.10.2020 12:00:00
Hong Kong	Hong Kong	7019	data\flag.jpg	17.10.2020 12:00:00
Hungary	Budapest	9931	data\flag.jpg	17.10.2020 12:00:00
Iceland	Reykjavik	3044	data\flag.jpg	17.10.2020 12:00:00
India	New Delhi	1147996	data\flag.jpg	17.10.2020 12:00:00
Indonesia	Jakarta	237512	data\flag.jpg	17.10.2020 12:00:00
Iran	Tehran	65875	data\flag.jpg	17.10.2020 12:00:00
Iraq	Baghdad	28221	data\flag.jpg	17.10.2020 12:00:00
Ireland	Dublin	4156	data\flag.jpg	17.10.2020 12:00:00
Israel	Jerusalem	7112	data\flag.jpg	17.10.2020 12:00:00
Italy	Rome	58145	data\flag.jpg	17.10.2020 12:00:00
Jamaica	Kingston	2804	data\flag.jpg	17.10.2020 12:00:00
Japan	Tokyo	127288	data\flag.jpg	17.10.2020 12:00:00
Jersey	Saint Helier	915	data\flag.jpg	17.10.2020 12:00:00
Jordan	Amman	6199	data\flag.jpg	17.10.2020 12:00:00
Kazakhstan	Astana	15341	data\flag.jpg	17.10.2020 12:00:00
Kenya	Nairobi	37954	data\flag.jpg	17.10.2020 12:00:00
Kiribati	Tarawa	1104	data\flag.jpg	17.10.2020 12:00:00
Korea (North)	P'yongyang	23479	data\flag.jpg	17.10.2020 12:00:00
Korea (South)	Seoul	49233	data\flag.jpg	17.10.2020 12:00:00
Kosovo	Priština	2127	data\flag.jpg	17.10.2020 12:00:00
Kuwait	Kuwait	2597	data\flag.jpg	17.10.2020 12:00:00
Kyrgyzstan	Bishkek	5357	data\flag.jpg	17.10.2020 12:00:00
Laos	Vientiane	6678	data\flag.jpg	17.10.2020 12:00:00
Latvia	Riga	2245	data\flag.jpg	17.10.2020 12:00:00
Lebanon	Beirut	3972	data\flag.jpg	17.10.2020 12:00:00
Lesotho	Maseru	2128	data\flag.jpg	17.10.2020 12:00:00
Liberia	Monrovia	3335	data\flag.jpg	17.10.2020 12:00:00
Libya	Tripoli	6174	data\flag.jpg	17.10.2020 12:00:00
Liechtenstein	Vaduz	345	data\flag.jpg	17.10.2020 12:00:00
Lithuania	Vilnius	3565	data\flag.jpg	17.10.2020 12:00:00
Luxembourg	Luxembourg	486	data\flag.jpg	17.10.2020 12:00:00
Macau	Macau	4608	data\flag.jpg	17.10.2020 12:00:00
Macedonia	Skopje	2061	data\flag.jpg	17.10.2020 12:00:00
Madagascar	Antananarivo	20043	data\flag.jpg	17.10.2020 12:00:00
Malawi	Lilongwe	13932	data\flag.jpg	17.10.2020 12:00:00
Malaysia	Kuala Lumpur	25274	data\flag.jpg	17.10.2020 12:00:00
Maldives	Male	3792	data\flag.jpg	17.10.2020 12:00:00
Mali	Bamako	12324	data\flag.jpg	17.10.2020 12:00:00
Malta	Valletta	4035	data\flag.jpg	17.10.2020 12:00:00
Man, Isle of	Douglas	762	data\flag.jpg	17.10.2020 12:00:00
Marshall Islands	Majuro	632	data\flag.jpg	17.10.2020 12:00:00
Martinique	Fort-de-France	404	data\flag.jpg	17.10.2020 12:00:00
